0.00	  5.242000	  0.072000	  0.046000	  0.004000
0.02	  5.434000	  0.230000	  0.644000	  0.152000
0.04	  5.676000	  0.436000	  1.468000	  0.196000
0.06	  5.850000	  0.658000	  2.268000	  0.206000
0.08	  6.316000	  0.994000	  3.448000	  0.186000
0.10	  6.462000	  1.154000	  4.104000	  0.224000
0.12	  6.594000	  1.418000	  5.106000	  0.280000
0.14	  7.010000	  1.704000	  6.118000	  0.230000
0.16	  7.258000	  1.856000	  7.280000	  0.376000
0.18	  7.944000	  2.174000	  8.096000	  0.184000
0.20	  7.962000	  2.526000	  9.322000	  0.308000
0.22	  8.642000	  2.870000	 10.774000	  0.280000
0.24	  8.756000	  3.162000	 11.708000	  0.540000
0.26	  8.908000	  3.308000	 13.358000	  0.430000
0.28	  9.048000	  4.088000	 14.404000	  0.480000
0.30	  9.624000	  3.972000	 15.598000	  0.480000
0.32	 10.244000	  4.808000	 17.392000	  0.214000
0.34	 10.744000	  5.198000	 18.362000	  0.190000
0.36	  8.668000	 11.838000	 18.720000	  0.164000
0.38	 13.632000	  5.428000	 21.734000	  0.380000
0.40	 14.694000	  6.572000	 26.196000	  0.322000
0.42	 14.446000	  7.202000	 28.276000	  0.492000
0.44	 15.406000	  7.232000	 29.834000	  0.500000
0.46	 15.956000	  7.484000	 30.778000	  0.214000
0.48	 15.998000	  8.016000	 33.020000	  0.870000
0.50	 16.684000	  8.662000	 33.840000	  0.510000
0.52	 17.074000	  8.472000	 41.708000	  0.338000
0.54	 18.130000	  9.368000	 39.284000	  0.342000
0.56	 18.298000	  9.440000	 43.548000	  0.214000
0.58	 18.892000	  9.300000	 43.646000	  0.588000
0.60	 20.476000	  8.510000	 45.764000	  0.222000
0.62	 20.718000	  8.922000	 48.752000	  0.200000
0.64	 20.068000	  9.508000	 48.084000	  1.402000
0.66	 18.156000	 11.034000	 50.420000	  0.214000
0.68	 18.292000	 13.114000	 54.338000	  0.222000
0.70	 20.378000	 14.212000	 55.460000	  0.378000
0.72	 19.140000	 15.544000	 57.862000	  0.410000
0.74	 18.100000	 20.164000	 57.370000	  0.188000
0.76	 18.028000	 21.276000	 60.354000	  0.194000
0.78	 26.422000	 11.684000	 61.628000	  0.330000
0.80	 24.586000	 11.878000	 58.218000	  0.262000
0.82	 23.756000	 12.006000	 60.278000	  0.172000
0.84	 23.798000	 12.306000	 62.722000	  0.170000
0.86	 23.722000	 12.926000	 63.346000	  0.202000
0.88	 22.580000	 13.584000	 66.862000	  0.186000
0.90	 23.720000	 14.002000	 70.800000	  0.206000
0.92	 23.442000	 14.058000	 71.358000	  0.168000
0.94	 23.190000	 14.566000	 74.960000	  0.214000
0.96	 22.178000	 15.122000	 80.284000	  0.178000
0.98	 22.486000	 16.160000	 88.368000	  0.212000
1.00	 21.634000	 17.100000	 84.960000	  0.434000
