Constructing Graph G(n,p), n = 100
--- MEAN: # of Connected Components ---
p	      mean	     stdev	   runtime
0.00	100.000000	  0.000000	 54.000000
0.02	 17.785000	  4.610724	 56.000000
0.04	  2.925000	  1.410452	 63.000000
0.06	  1.215000	  0.456919	 70.000000
0.08	  1.005000	  0.070534	 78.000000
0.10	  1.000000	  0.000000	 85.000000
0.12	  1.005000	  0.070534	 93.000000
0.14	  1.000000	  0.000000	100.000000
0.16	  1.000000	  0.000000	109.000000
0.18	  1.000000	  0.000000	119.000000
0.20	  1.000000	  0.000000	126.000000
0.22	  1.000000	  0.000000	134.000000
0.24	  1.000000	  0.000000	145.000000
0.26	  1.000000	  0.000000	154.000000
0.28	  1.000000	  0.000000	163.000000
0.30	  1.000000	  0.000000	173.000000
0.32	  1.000000	  0.000000	180.000000
0.34	  1.000000	  0.000000	188.000000
0.36	  1.000000	  0.000000	197.000000
0.38	  1.000000	  0.000000	205.000000
0.40	  1.000000	  0.000000	218.000000
0.42	  1.000000	  0.000000	231.000000
0.44	  1.000000	  0.000000	238.000000
0.46	  1.000000	  0.000000	245.000000
0.48	  1.000000	  0.000000	183.000000
0.50	  1.000000	  0.000000	176.000000
0.52	  1.000000	  0.000000	179.000000
0.54	  1.000000	  0.000000	186.000000
0.56	  1.000000	  0.000000	188.000000
0.58	  1.000000	  0.000000	196.000000
0.60	  1.000000	  0.000000	203.000000
0.62	  1.000000	  0.000000	207.000000
0.64	  1.000000	  0.000000	204.000000
0.66	  1.000000	  0.000000	212.000000
0.68	  1.000000	  0.000000	216.000000
0.70	  1.000000	  0.000000	219.000000
0.72	  1.000000	  0.000000	218.000000
0.74	  1.000000	  0.000000	222.000000
0.76	  1.000000	  0.000000	228.000000
0.78	  1.000000	  0.000000	237.000000
0.80	  1.000000	  0.000000	244.000000
0.82	  1.000000	  0.000000	247.000000
0.84	  1.000000	  0.000000	265.000000
0.86	  1.000000	  0.000000	263.000000
0.88	  1.000000	  0.000000	246.000000
0.90	  1.000000	  0.000000	256.000000
0.92	  1.000000	  0.000000	277.000000
0.94	  1.000000	  0.000000	245.000000
0.96	  1.000000	  0.000000	257.000000
0.98	  1.000000	  0.000000	288.000000
1.00	  1.000000	  0.000000	315.000000
