  20	  3.700000	  0.479583	     0.070
  50	  6.450000	  0.507445	     0.105
 100	 10.205000	  0.585641	     0.255
 200	 16.075000	  0.655267	     0.730
 500	 29.415000	  0.807945	     3.125
1000	 46.565000	  0.869353	     9.895
2000	 73.875000	  0.989634	    21.675
3000	 96.510000	  1.009901	    36.905
